image,description,display name,category
54329.jpg,"Black and pink thong style briefs with top stitch detailing and brand print in front, lace detailing on the sides, elasticated waistband with a brand print bow at the back",Garfield Women Black String Briefs,Briefs
10381.jpg,"Composition Blue shirt made of 100% cotton, has full sleeves with buttoned cuffs, tipped collar and front buttoned placket which has a blue striped inner lining and curved hem Fitting Comfort Wash care Delicate machine wash at 30 degrees using mild detergent Do not dry clean Do not tumble dry, wring, scrub or bleach Dry flat in shade Warm iron Do not iron directly on print/embroidery Add immense style to your formal look with this shirt from united colors of benetton. Be the cynosure of all eyes in this stylish shirt, while the fabric keeps you fresh and comfortable all day. The full arm sleeves add a touch of regality to your personality. Pair it with formal trousers and black leather footwear for that classic look. Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",United Colors of Benetton Men Solid Blue Shirts,Shirts
46170.jpg,"Style Note The perfect blend of beauty and style, this handmade necklace from adrika adds a touch of glamour to your wardrobe. Pair it with any outfit for a chic and bold look. Product Details Five strand neck-piece with white and black beads, tassel detail in front, metal clasp Material and Care Glass and poth (glass) beads Wipe with soft cloth to maintain shine and keep away dust and dirt Size Length of necklace: 60 cm",Adrika Black Necklace,Necklace and Chains
42544.jpg,"Style Note This piece from mother earth references the brand's environmentally sound principles into it's overall aesthetic. Capturing India's rich textile traditions in designs and styles that reflect the sentiment of the global citizen - this is the brand's USP. This kurta is crafted from a soft fabric that's passed through the hands of rural weavers and craftsmen, who've used time tested traditions passed on from generation to generation to craft this unique piece. Pair this with other cotton pieces to create the right impact. Product Details Dusty pink printed kurta, has a pink yoke, a half buttoned placket, short puff sleeves and a tiered flaring skirt Material and Care 100% cotton Hand wash separately in cold water using a mild detergent as colour may bleed Flat dry inside out in shade Warm iron Do not soak in water Size and Fit Regular fit The model (height 5'8"" and chest 33"") is wearing a size M",Mother Earth Women Pink Kurta,Kurtas
3250.jpg,"Composition: Red and white ballerina flats made of mesh and synethic uppers and rubber outsoles These ballerina flats from puma are the perfect mixture sneaker comfort and the light, airy feeling of a ballerina shoe. The mesh uppers with leather accents are both stylish and comfortable. The elastic strap enables easy removal and insertion of the foot. The textile lining and a cushioned footbed provide comfort. Two-tone rubber outsole gives good grip.",Puma Women Sneakerina Red Shoe,Casual Shoes
59564.jpg,Steel coloured pair of cuff-links with crystal insets  square Shaped post at back to hold cuff in place,Revv Men Steel Cufflinks,Cufflinks
28778.jpg,"Composition Orange round neck printed kurti made of 100% cotton, has a split neckline, three quarter sleeves, panel stitched on the yoke and a vented hem Fit Regular Wash care Wash dark colours separately Do not bleach Dry inside out in shade Warm iron Every girl needs a choice of kurtis in her off-duty wardrobe. aurelia have been inspired by the street fads that are currently trending and have added this style to their latest collection. For the conservative at heart, this piece can be worn with leggings and delicate sandals. For a boho chick meets rebel style, colour block this with bright capris. Model statistics The product is a size M on a model of height 5'8"" and chest 33""",Aurelia Women Printed Orange Kurti,Kurtis
59589.jpg,"Purple and dark pink, georgette sari with embroidery and metallic print",FNF Purple Evening Wear Sari,Sarees
25379.jpg,Black 100% combed cotton inner vest with contrast shoulder straps and signature Levi's reg tag on hem  Wash care  Machine wash Do not bleach Tumble dry low Warm iron as needed Do not dry clean  If you need a basic vest to keep you feeling fresh under your shirt and provide a little warmth when the air conditioning gets too cold then you've found it here. Levi's know what they're doing when they come up with practical basics which will make you look and feel great.  The final product delivered might vary in colour and prints from the display here.,Levis Men Black & White Innerwear Vest,Innerwear Vests
20900.jpg,"Don't allow the monsoon to dictate your fashion sense! Wear these stylish sandals from catwalk to brave the elements and look fabulous. This pair goes with denims, skirts and even leggings. Upper Synthetic leather upper with cutouts Reinforced overlay on the heel for ankle support Ergonomically designed footbed with mild padding for instep comfort Outsole TPU outsole with upraised heel Branding on the forefoot region of the outsole and floral grooves on the heel shoe Care Wipe surface with soft, clean cloth to remove dust Do not machine wash or use a drier Do not store in direct sunlight",Catwalk Women Black Flats,Heels
52686.jpg,"Silver steel case with a fixed bezel for durability, style and comfort Stainless steel strap with a butterfly clasp Black dial with silver coloured hands just cavalli logo from the 12 hour mark across the dial Three chrongraphic displays Screw to reset time Solid case back for enhanced durability Water resistance up to 30 meters, allowing you to use it even when washing hands or light rain Warranty: 2 years",Just Cavalli Men Silver Watch,Watches
37904.jpg,"Style note Developed by ScentStory, 24 The Fragrance ""Gold"" is inspired by Jack Bauer from the TV series 24 (which is the longest running series in TV history and ranked as the 6th greatest television show of all-time!) The precious gold coloured bottle inspires feelings of power and success. With this scent you'll be able to embody Jack's extraordinary strength of character and determination through adversity - all without raising a sweat! Product Details The 24 Gold fragrance opens with vibrant, dynamic tones and has a captivating fresh, woody, oriental fragrance.    It contains notes of jasmine, sandalwood, amber and vanilla. Caution Flammable Keep away from sources of ignition Keep away from children Do not use near fire, flame or heat Avoid spraying near the eyes Size 100 ml",24 Unisex Gold Perfume,Perfume and Body Mist
44473.jpg,"Style Note gliders, your go-brand, comes up with new season updates in it's casual shoes you're bound to love. This colour block sneaker considers three colours in perfect balance. Style this with a pair of denims and a monochrome printed tee to go with one of the overlay colours! Product Details Round toed black casual shoe with perforation styling all over and blue and yellow central overlays Has a padded tongue and inner with central lace-ups TPU outsole moulded onto the heel to act as a heel guard Black outsole with circular nubs all over, star shaped lugs at the forefoot and upraised lugs at the heel Material and Care Synthetic Wipe with a clean cloth to remove dust, grime or dirt Do not store in direct sunlight",Gliders Women Black Shoes,Sports Shoes
29887.jpg,Lens colour: Grey Lens type: Optical class 1 shatterproof polycarbonate lenses that filter out 100% UVA and UVB rays Frame colour: Black Frame type: Plastic full frame High bridge with fixed nose holders,Mayhem Women Cat Eye Sunglasses 1016-104,Sunglasses
33367.jpg,"Toned down glam, with a special occasion twist, this baggit clutch is just right for an evening with the girls, or a surprise dinner. Match the metallic tones on this piece with your pumps and accessories.   Dimensions: 11 cm x 30 cm  Shiny fabric upper with a fold-over detail that acts as a flap Concealed magnetic button closure One main compartment with lining A zippered pocket and pouches inside One zippered pocket under the flap   Care Wipe surface with a damp clean cloth",Baggit Women Hero Brush Black Clutch,Clutches
